Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;sept-23;15 607 006
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;oct-23;15 544 102
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;nov-23;15 481 194
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;déc-23;15 588 393
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;janv-24;15 455 632
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;févr-24;15 625 306
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;mars-24;15 642 819
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;avr-24;15 308 754
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;mai-24;15 385 899
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;juin-24;15 102 998
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;juil-24;15 665 835
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;août-24;16 136 475
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;sept-24;16 021 946
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;oct-24;16 571 255
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;nov-24;17 139 473
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;déc-24;17 286 163
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;janv-25;16 807 620
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;févr-25;16 332 203
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;févr-22;12 616 613
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;mars-22;12 238 255
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;avr-22;12 208 004
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;mai-22;12 708 983
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;juin-22;12 982 054
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;juil-22;12 801 117
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;août-22;12 773 441
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;sept-22;12 846 492
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;oct-22;12 920 120
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;nov-22;12 852 210
