Date_UTC,Date_Local,LocalDate,Home Team,Away Team,Home Score,Away Score,Result,Season,weight,Played,Home Team Rank,Away Team Rank,Date,Home Win,Home Last 10 Wins,Away Last 10 Wins,Home Played Yesterday,Away Played Yesterday,Home Win Rate,Away Win Rate,Home Team Overall Win Streak Before Game,Away Team Overall Win Streak Before Game,Home Opponent Strength,Away Opponent Strength,Home Rest Days Since Last Game,Away Rest Days Since Last Game
2024-10-13 02:00:00+00:00,2024-10-12 22:00:00-04:00,2024-10-12,Edmonton Oilers,Chicago Blackhawks,2,5,2 - 5,2024-2025,1.0,True,13.0,23.0,2024-10-12 22:00:00,False,0,0,False,False,0.0,0.0,0,0,4.0,4.0,3.0,1.0
2024-10-13 22:00:00+00:00,2024-10-13 18:00:00-04:00,2024-10-13,Winnipeg Jets,Minnesota Wild,2,1,2 - 1,2024-2025,1.0,True,4.0,30.0,2024-10-13 18:00:00,True,2,1,False,False,1.0,0.0,2,0,18.0,20.0,1.0,0.0
2024-10-14 00:00:00+00:00,2024-10-13 20:00:00-04:00,2024-10-13,Dallas Stars,Seattle Kraken,2,0,2 - 0,2024-2025,1.0,True,11.0,16.0,2024-10-13 20:00:00,True,2,1,True,True,1.0,1.0,2,1,27.0,31.0,1.0,1.0
2024-10-14 00:00:00+00:00,2024-10-13 20:00:00-04:00,2024-10-13,Edmonton Oilers,Calgary Flames,1,4,1 - 4,2024-2025,1.0,True,13.0,33.0,2024-10-13 20:00:00,False,0,2,False,False,0.0,1.0,0,2,13.5,17.5,0.0,0.0
2024-10-14 02:00:00+00:00,2024-10-13 22:00:00-04:00,2024-10-13,Vegas Golden Knights,Anaheim Ducks,3,1,3 - 1,2024-2025,1.0,True,9.0,17.0,2024-10-13 22:00:00,True,2,1,False,True,1.0,1.0,2,1,17.5,31.0,2.0,1.0
2024-10-14 17:00:00+00:00,2024-10-14 13:00:00-04:00,2024-10-14,Ottawa Senators,Los Angeles Kings,8,7,8 - 7,2024-2025,1.0,True,14.0,12.0,2024-10-14 13:00:00,True,1,1,False,False,1.0,0.5,0,0,27.0,23.5,1.0,2.0
2024-10-14 17:00:00+00:00,2024-10-14 13:00:00-04:00,2024-10-14,Boston Bruins,Florida Panthers,3,4,3 - 4,2024-2025,1.0,True,19.0,27.0,2024-10-14 13:00:00,False,2,1,False,False,1.0,0.0,2,0,19.5,20.333333333333332,2.0,1.0
2024-10-14 23:00:00+00:00,2024-10-14 19:00:00-04:00,2024-10-14,New York Rangers,Detroit Red Wings,4,1,4 - 1,2024-2025,1.0,True,22.0,5.0,2024-10-14 19:00:00,True,1,1,False,False,0.0,0.0,0,1,2.0,15.5,2.0,2.0
2024-10-15 01:00:00+00:00,2024-10-14 21:00:00-04:00,2024-10-14,Colorado Avalanche,New York Islanders,2,6,2 - 6,2024-2025,1.0,True,3.0,25.0,2024-10-14 21:00:00,False,0,0,False,False,0.0,0.0,0,0,16.5,11.0,2.0,2.0
2024-10-15 23:00:00+00:00,2024-10-15 19:00:00-04:00,2024-10-15,Tampa Bay Lightning,Vancouver Canucks,4,1,4 - 1,2024-2025,1.0,True,18.0,20.0,2024-10-15 19:00:00,True,1,0,False,False,0.0,0.0,1,0,10.0,24.0,4.0,3.0
2024-10-15 23:00:00+00:00,2024-10-15 19:00:00-04:00,2024-10-15,Washington Capitals,Vegas Golden Knights,4,2,4 - 2,2024-2025,1.0,True,21.0,9.0,2024-10-15 19:00:00,True,0,3,False,False,0.0,0.0,0,3,7.0,17.333333333333332,3.0,1.0
2024-10-15 23:00:00+00:00,2024-10-15 19:00:00-04:00,2024-10-15,Carolina Hurricanes,New Jersey Devils,4,2,4 - 2,2024-2025,1.0,True,10.0,7.0,2024-10-15 19:00:00,True,0,4,False,False,0.0,1.0,0,2,18.0,25.75,4.0,1.0
2024-10-15 23:00:00+00:00,2024-10-15 19:00:00-04:00,2024-10-15,Columbus Blue Jackets,Florida Panthers,3,4,3 - 4,2024-2025,1.0,True,24.0,27.0,2024-10-15 19:00:00,False,1,2,False,False,0.0,0.3333333333333333,1,1,16.5,20.0,2.0,1.0
2024-10-15 23:30:00+00:00,2024-10-15 19:30:00-04:00,2024-10-15,St. Louis Blues,Minnesota Wild,1,4,1 - 4,2024-2025,1.0,True,32.0,30.0,2024-10-15 19:30:00,False,2,1,False,False,0.0,0.0,0,0,18.666666666666668,14.666666666666666,3.0,2.0
2024-10-16 00:00:00+00:00,2024-10-15 20:00:00-04:00,2024-10-15,Nashville Predators,Seattle Kraken,3,7,3 - 7,2024-2025,1.0,True,29.0,16.0,2024-10-15 20:00:00,False,0,1,False,False,0.0,0.5,0,0,8.0,24.333333333333332,3.0,2.0
2024-10-16 00:00:00+00:00,2024-10-15 20:00:00-04:00,2024-10-15,Dallas Stars,San Jose Sharks,3,2,3 - 2,2024-2025,1.0,True,11.0,31.0,2024-10-15 20:00:00,True,3,0,False,False,1.0,0.0,3,0,23.333333333333332,24.5,2.0,2.0
2024-10-16 01:00:00+00:00,2024-10-15 21:00:00-04:00,2024-10-15,Calgary Flames,Chicago Blackhawks,3,1,3 - 1,2024-2025,1.0,True,33.0,23.0,2024-10-15 21:00:00,True,3,1,False,False,1.0,0.3333333333333333,3,1,16.0,8.5,2.0,2.0
